name,include,exclude,fqdn_combined,provision_status,description
Any (0.0.0.0/0 and ::/0),0.0.0.0/0; ::/0,,,,
Corporate Network IPs,10.0.0.0/8; 172.16.0.0/12; 192.168.0.0/16; fc00::/7,,,,"RFC 1918 and RFC 4193 (The set of IPv4 and IPv6 addresses commonly used as a private network space for residential, office, and enterprise environments)"
hq,45.54.45.0/24,,,,
internet,0.0.0.0/0,10.0.0.0/8; 172.16.0.0/12; 192.168.0.0/16; fc00::/7;169.254.0.0/16;224.0.0.0-239.255.255.255;45.54.45.0/24,,,
IPL-DFIR-ARTIFACT-STORAGE,,,setiporfqdn.com,,
IPL-EDR-CROWDSTRIKE-FALCON,3.56.127.239; 13.57.54.63; 50.18.194.39; 52.52.117.52; 52.52.119.33; 52.52.149.168; 52.52.239.58; 52.53.77.89; 52.8.134.130; 52.8.160.82; 52.8.172.89; 52.8.173.58; 52.8.19.75; 52.8.32.113; 52.8.45.162; 52.8.5.240; 52.8.54.244; 52.8.61.206; 52.9.104.148; 52.9.212.176; 52.9.77.209; 52.9.82.94; 52.9.87.98; 54.183.105.3; 54.183.122.156; 54.183.140.32; 54.183.142.105; 54.183.148.116; 54.183.148.43; 54.183.234.42; 54.183.24.162; 54.183.252.86; 54.183.34.154; 54.183.39.68; 54.183.51.31; 54.183.51.69; 54.183.52.221; 54.193.117.199; 54.193.27.226; 54.193.29.47; 54.193.67.98; 54.193.87.57; 54.193.90.171; 54.193.93.19; 54.215.131.232; 54.215.154.80; 54.215.169.199; 54.215.169.38; 54.215.176.108; 54.215.183.157; 54.215.226.55; 54.219.112.243; 54.219.115.12; 54.219.137.54; 54.219.140.50; 54.219.141.250; 54.219.145.181; 54.219.147.253; 54.219.148.161; 54.219.149.89; 54.219.149.92; 54.219.151.1; 54.219.151.27; 54.219.153.248; 54.219.158.53; 54.219.159.84; 54.219.161.141; 54.241.138.180; 54.241.146.67; 54.241.148.127; 54.241.150.134; 54.241.161.60; 54.241.162.180; 54.241.162.64; 54.241.164.212; 54.241.175.140; 54.241.175.52; 54.241.179.52; 54.241.181.242; 54.241.184.161; 54.241.185.201; 54.241.186.124; 54.241.197.58; 54.67.105.202; 54.67.119.89; 54.67.123.150; 54.67.123.234; 54.67.26.184; 54.67.33.233; 54.67.48.56; 54.67.54.116; 54.67.6.201; 54.67.68.88; 54.67.92.206; 54.67.96.255; 54.67.99.247; 13.56.121.58; 50.18.198.237; 52.8.141.1; 54.183.120.141; 54.183.135.80; 54.183.215.154; 54.193.86.245; 54.215.170.42; 54.219.179.25; 54.241.161.242; 54.241.181.78; 54.241.182.78; 54.241.183.151; 54.241.183.229; 54.241.183.232; 54.67.108.17; 54.67.114.188; 54.67.122.238; 54.67.17.131; 54.67.24.156; 54.67.4.108; 54.67.41.192; 54.67.5.136; 54.67.51.32; 54.67.72.218; 54.67.78.134; 54.215.202.179; 54.215.193.131; 54.67.80.244; 54.67.123.100; 54.67.8.240; 54.67.64.61; 54.67.37.78; 52.222.5.255; 52.61.82.75; 52.222.96.101; 96.127.113.82; 52.61.56.86; 52.61.77.149; 52.222.76.145; 52.222.48.202; 52.222.79.100; 96.127.67.59; 52.222.47.146; 52.61.67.79; 52.222.109.240; 52.61.75.201; 52.222.42.221; 52.61.22.52; 52.61.25.208; 52.61.83.139; 52.61.12.4; 96.127.84.208; 52.61.15.206; 96.127.58.128; 52.61.57.16; 52.61.46.226; 52.61.68.8; 52.61.66.97; 52.61.93.127; 96.127.39.199; 52.61.14.45; 52.61.77.66; 52.61.68.44; 52.61.49.230; 52.222.20.118; 52.222.14.13; 52.61.29.15; 52.61.90.103; 52.222.46.86; 52.61.66.9; 52.61.54.66; 52.61.86.16; 52.61.96.202; 52.61.62.106; 52.222.97.32; 52.222.110.105; 96.127.102.213; 52.222.106.92; 52.61.91.152; 96.127.111.249; 52.61.83.43; 52.61.14.36; 96.127.61.45; 52.61.47.238; 52.61.98.65; 52.61.51.33; 52.61.12.7; 96.127.115.124; 96.127.77.26; 96.127.90.193; 52.222.71.144; 52.61.53.91; 52.61.61.248; 52.61.25.210; 96.127.89.44; 52.222.108.7; 52.61.2.4; 52.61.7.132; 96.127.98.128; 96.127.77.234; 96.127.111.3; 96.127.108.36; 52.61.57.211; 52.61.89.212; 52.222.14.131; 52.61.87.201; 52.222.59.20; 52.61.60.100; 52.61.13.204; 52.61.95.243; 52.61.55.125; 52.61.93.190; 52.222.97.81; 100.20.76.137; 35.162.239.174; 34.209.79.111; 52.10.219.156; 34.210.186.129; 54.193.196.61; 52.52.60.244; 54.219.239.208; 54.219.198.50; 54.188.85.187; 54.69.20.169; 44.241.254.47; 54.70.55.71; 52.43.173.253; 44.230.17.220; 3.64.81.130; 3.127.43.50; 18.193.144.218; 3.69.129.49; 3.126.96.195; 3.123.89.179; 160.1.78.140; 15.200.14.201; 96.127.77.135,,ts01-b.cloudsink.net;lfodown01-b.cloudsink.net;falcon.crowdstrike.com;assets.falcon.crowdstrike.com;assets-public.falcon.crowdstrike.com;t01-laggar-gcw.cloudsink.net;sensorproxy-laggar-g-524628337.us-gov-west-1.elb.amazonaws.com;lfodown01-laggar-gcw.cloudsink.net;ELB-Laggar-P-LFO-DOWNLOAD-1265997121.us-gov-west-1.elb.amazonaws.com;falcon.laggar.gcw.crowdstrike.com;laggar-falconui01-g-245478519.us-gov-west-1.elb.amazonaws.com;falconapi.laggar.gcw.crowdstrike.com;falconapi-laggar01-g-1129225957.us-gov-west-1.elb.amazonaws.com;firehose.laggar.gcw.crowdstrike.com;falconhose-laggar01-g-720386815.us-gov-west-1.elb.amazonaws.com;ts01-lanner-lion.cloudsink.net;lfodown01-lanner-lion.cloudsink.net;ts01-gyr-maverick.cloudsink.net;lfodown01-gyr-maverick.cloudsink.net;falconapi.us-2.crowdstrike.com;firehose.us-2.crowdstrike.com;ffc.us-1.crowdstrike.com;ffcng.us-1.crowdstrike.com;ffc.us-2.crowdstrike.com;ffcng.us-2.crowdstrike.com;ffc.eu-1.crowdstrike.com;ffcng.eu-1.crowdstrike.com;ffc.laggar.gcw.crowdstrike.com,,
IPL-EDR-MICROSOFT-DEFENDER-ENDPOINT,,,ssus1eastprod.blob.core.windows.net;ussus2eastprod.blob.core.windows.net;ussus3eastprod.blob.core.windows.net;ussus4eastprod.blob.core.windows.net;wsus1eastprod.blob.core.windows.net;wsus2eastprod.blob.core.windows.net;ussus1westprod.blob.core.windows.net;ussus2westprod.blob.core.windows.net;ussus3westprod.blob.core.windows.net;ussus4westprod.blob.core.windows.net;wsus1westprod.blob.core.windows.net;wsus2westprod.blob.core.windows.net;usseu1northprod.blob.core.windows.net;wseu1northprod.blob.core.windows.net;usseu1westprod.blob.core.windows.net;wseu1westprod.blob.core.windows.net;ussuk1southprod.blob.core.windows.net;wsuk1southprod.blob.core.windows.net;ussuk1westprod.blob.core.windows.net;wsuk1westprod.blob.core.windows.net;*.wdcp.microsoft.com;*.wdcpalt.microsoft.com;*.wd.microsoft.com;*.update.microsoft.com;*.delivery.mp.microsoft.com;*.windowsupdate.com;*.download.microsoft.com;*.download.windowsupdate.com;go.microsoft.com;vortex-win.data.microsoft.com;settings-win.data.microsoft.com,,
IPL-GOOGLE-NTP,,,time.google.com;time1.google.com;time2.google.com;time3.google.com;time4.google.com,,
IPL-MICROSOFT-WINDOWS-UPDATE,,,windowsupdate.microsoft.com;*.windowsupdate.microsoft.com;*.update.microsoft.com;*.windowsupdate.com;download.windowsupdate.com;download.microsoft.com;*.download.windowsupdate.com;wustat.windows.com;ntservicepack.microsoft.com;go.microsoft.com;v10.events.data.microsoft.com;checkappexec.microsoft.com;ctldl.windowsupdate.com;*.mp.microsoft.com;settings-win.data.microsoft.com;sls.update.microsoft.com;time.windows.com;*.events.data.microsoft.com;watson.telemetry.microsoft.com;login.live.net;www.microsoft.com;ocsp.digicert.com;smartscreen-prod.microsoft.com;wdcpalt.microsoft.com;*.microsoft.com,,
link local,169.254.0.0/16,,,,
Malicious IPs from Threat Feed,35.111.120.25; 135.29.19.19; 91.189.91.48; 185.125.190.57; 72.30.35.88; 185.125.190.18; 142.147.88.111; 144.34.193.110; 91.189.91.96; 23.150.40.242; 50.251.160.20; 208.76.2.12; 185.125.190.49; 162.159.200.123; 45.102.100.49; 9.9.9.9; 85.151.14.15; 45.102.100.25; 45.102.100.17; 135.111.120.12; 45.102.100.107; 45.102.100.37; 185.125.190.56; 91.189.91.49; 185.125.190.58; 185.125.190.17; 185.125.190.48; 91.189.91.98; 185.125.190.97; 185.125.190.98; 91.189.91.97; 185.125.190.96; 151.139.188.50,,,,
multicast,224.0.0.0-239.255.255.255,,,,
Multicast IPs,224.0.0.0/4,,,,Multicast IP Address Space
rfc1918,10.0.0.0/8; 172.16.0.0/12; 192.168.0.0/16,,,,